id,Amandina,Arabia,Comtesse,Crème brulée,Jelly Black,Jelly Milk,Jelly White,Noblesse,Noir authentique,Passion au lait,Stracciatella,Tentation noir,Triangolo
Amandina_JPG.rf.67d418c957c2a97e90131e2fd15db7d8.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
Amandina_JPG.rf.81d872cb4a6a301589fb39f8c3185570.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
Amandina_JPG.rf.e7a0be2f54eabf12db58840b94a0e209.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
Arabia_JPG.rf.2d94209b2e8ad92f7f6bee4d7ec58e99.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0
Arabia_JPG.rf.84c0662cfa2addbe5f1a76f3d13a4e69.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0
Arabia_JPG.rf.f5014c1988bf29e401745b8e3bd266ca.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0
Comtesse_JPG.rf.013ca621bf174efdfdaa988a199264c6.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0
Comtesse_JPG.rf.030738d31a5a91230e873ca3660c22fe.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0
Comtesse_JPG.rf.957cb2a7acf614b04cf63b91069399be.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0
Creme_brulee_JPG.rf.34fa53f22fc0f1aa0b3dd68e6c2a3662.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0
Creme_brulee_JPG.rf.44868e0243717def8de470ab9b215471.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0
Creme_brulee_JPG.rf.f6006d20471356594397e40ef17c7187.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0
Jelly_Black_JPG.rf.0bbc95c2e0853cd80c29b9ec6e7a5c0c.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0
Jelly_Black_JPG.rf.bc84d7cac96ec866c6931324d1a38af9.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0
Jelly_Black_JPG.rf.dc067acfff74a0c5d2a46ce1c3a0178b.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0
Jelly_Milk_JPG.rf.6a8e55f011c873020891d1ee4fded876.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0
Jelly_Milk_JPG.rf.d6718666d5fdaa49e4c773272e60c669.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0
Jelly_Milk_JPG.rf.f01a7e8fcc2e4c468baec78b08a0df8c.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0
Jelly_White_JPG.rf.535f5da82d13094571b5819acf75141c.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
Jelly_White_JPG.rf.bd3c8b1c379a50fdfaa0bb1935215209.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
Jelly_White_JPG.rf.f40e5561f5a458c9e3a624df6f34f6c9.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
L1000756_JPG.rf.1996776aa225c996082b822a5ab4fd85.jpg,0,0,0,0,0,0,2,1,0,0,2,0,1
L1000756_JPG.rf.bb4a0fdf426638acefde8eaa29dc3cac.jpg,0,0,0,0,0,0,2,1,0,0,2,0,1
L1000756_JPG.rf.c2747e1f5cf7f5378e5cf0c6f9173de3.jpg,0,0,0,0,0,0,2,1,0,0,2,0,1
L1000763_JPG.rf.3761cceb98b53d80a906004c0a62a9bc.jpg,0,0,0,0,3,3,2,0,0,0,0,0,0
L1000763_JPG.rf.5b158d5dde5a126ce4418bbc19587aad.jpg,0,0,0,0,3,3,2,0,0,0,0,0,0
L1000763_JPG.rf.85da73f7355435de234c198df900f83c.jpg,0,0,0,0,3,3,2,0,0,0,0,0,0
L1000765_JPG.rf.31f4acc7d00cbfe0290515f25e6778b8.jpg,0,0,0,0,0,0,0,0,0,2,0,0,3
L1000765_JPG.rf.3e6ffbf24b5f86343257ee11db5d27e7.jpg,0,0,0,0,0,0,0,0,0,2,0,0,3
L1000765_JPG.rf.5fd8c021899333f3a336e1f8dfbbf456.jpg,0,0,0,0,0,0,0,0,0,2,0,0,3
L1000768_JPG.rf.a29ca0f1df3922f38db267a942c007cb.jpg,0,0,1,0,0,0,0,1,0,0,2,0,0
L1000768_JPG.rf.daab05c15309fb019ec751b13648435c.jpg,0,0,1,0,0,0,0,1,0,0,2,0,0
L1000768_JPG.rf.fa1ad02bf99103aba80c1b589b5dff47.jpg,0,0,1,0,0,0,0,1,0,0,2,0,0
L1000772_JPG.rf.2fbc3080700ad52ad747c54fc506bd0f.jpg,0,0,0,0,1,2,3,0,0,0,0,0,0
L1000772_JPG.rf.542b6fc256b8eaa2be4d4382f50ef747.jpg,0,0,0,0,1,2,3,0,0,0,0,0,0
L1000772_JPG.rf.ab254a871649c8d6db9418565036d019.jpg,0,0,0,0,1,2,3,0,0,0,0,0,0
L1000779_JPG.rf.8b18079a39232bd84d8e165000ce824f.jpg,1,2,0,1,1,0,0,0,0,0,1,0,0
L1000779_JPG.rf.8e1293cc309afbc7ee309898f8fde2d0.jpg,1,2,0,1,1,0,0,0,0,0,1,0,0
L1000779_JPG.rf.af9e468a1c6838cbc0ec3115a51aa076.jpg,1,2,0,1,1,0,0,0,0,0,1,0,0
L1000780_JPG.rf.045b40a5fb993e9dfe9691f14bc2cdc0.jpg,1,1,1,1,0,2,1,1,1,1,1,1,1
L1000780_JPG.rf.6601229283238a4c2cc45d8babdb54fb.jpg,1,1,1,1,0,2,1,1,1,1,1,1,1
L1000780_JPG.rf.884cd209eac137a7366aca1e72a813c3.jpg,1,1,1,1,0,2,1,1,1,1,1,1,1
L1000785_JPG.rf.31998d0d7ba70015544b45a127ac463d.jpg,1,0,0,0,0,1,0,0,1,0,2,0,0
L1000785_JPG.rf.bf093e05ba7fb096002dd2fe01828695.jpg,1,0,0,0,0,1,0,0,1,0,2,0,0
L1000785_JPG.rf.cf37ead4b8d761de69802dcf4df50eb0.jpg,1,0,0,0,0,1,0,0,1,0,2,0,0
L1000788_JPG.rf.1bfdb1a5cb38db6a23a6583a61a4a194.jpg,0,0,0,0,3,2,2,0,0,0,0,0,0
L1000788_JPG.rf.69f3e084509a42de3df28dcd9e9adc4e.jpg,0,0,0,0,3,2,2,0,0,0,0,0,0
L1000788_JPG.rf.95bd17b5cc071a5f4d07414013fa5e73.jpg,0,0,0,0,3,2,2,0,0,0,0,0,0
L1000791_JPG.rf.65fe5af1661adf5b5334a85d2fbc4c96.jpg,0,1,0,0,0,0,0,1,0,0,1,0,2
L1000791_JPG.rf.8e5e972f95ebc6903129eab55c52a5cb.jpg,0,1,0,0,0,0,0,1,0,0,1,0,2
L1000791_JPG.rf.a9a1af40f8af102eecea8e1bdcf40631.jpg,0,1,0,0,0,0,0,1,0,0,1,0,2
L1000792_JPG.rf.88c1db45c4b10125bec81c0981f4eb5e.jpg,0,0,0,0,0,0,0,2,3,0,0,0,0
L1000792_JPG.rf.aa0bc21a37b85f98229256c15be5e616.jpg,0,0,0,0,0,0,0,2,3,0,0,0,0
L1000792_JPG.rf.b34e247f38fcdfe7346688449c3e447b.jpg,0,0,0,0,0,0,0,2,3,0,0,0,0
L1000793_JPG.rf.65e5c753edbf4957707ed5d667324d35.jpg,1,1,0,1,0,0,0,0,0,1,1,1,0
L1000793_JPG.rf.699dac0c81d23c56e1118a3940577326.jpg,1,1,0,1,0,0,0,0,0,1,1,1,0
L1000793_JPG.rf.819db00297da1904f5893704adc3e623.jpg,1,1,0,1,0,0,0,0,0,1,1,1,0
L1000797_JPG.rf.6ad235156e4a8752cd86143203e50c13.jpg,0,0,0,2,0,0,0,2,2,0,0,0,0
L1000797_JPG.rf.9f178f3626c840dbc7277d87bbbd0c62.jpg,0,0,0,2,0,0,0,2,2,0,0,0,0
L1000797_JPG.rf.ffd66b50b71f163f2d426605b7cfc4c4.jpg,0,0,0,2,0,0,0,2,2,0,0,0,0
L1000799_JPG.rf.3263e68f95f2e76a084136ee426a1f47.jpg,0,2,0,0,2,2,0,2,0,0,0,0,0
L1000799_JPG.rf.d2d9105359a902960c66599c4356eda6.jpg,0,2,0,0,2,2,0,2,0,0,0,0,0
